trade_date,symbol,open,high,low,close,volume,amount
2023-01-03,159928.SZ,1.044,1.044,1.017,1.025,3016107.0,309015720.76
2023-01-04,159928.SZ,1.026,1.032,1.018,1.024,1703134.0,174689758.8
2023-01-05,159928.SZ,1.027,1.062,1.027,1.058,3446977.0,362544937.6
2023-01-06,159928.SZ,1.06,1.062,1.047,1.058,2442990.0,257851463.8
2023-01-09,159928.SZ,1.06,1.077,1.052,1.074,2284075.0,243567069.4
2023-01-10,159928.SZ,1.075,1.084,1.067,1.079,2664453.0,287275185.3
2023-01-11,159928.SZ,1.074,1.082,1.066,1.074,2319099.0,249395595.2
2023-01-12,159928.SZ,1.077,1.079,1.064,1.068,2250969.0,240604469.1
2023-01-13,159928.SZ,1.069,1.097,1.068,1.097,2979276.0,323845623.119
2023-01-16,159928.SZ,1.097,1.133,1.097,1.119,3994990.0,447862260.166
2023-01-17,159928.SZ,1.117,1.125,1.103,1.107,4292208.0,477118155.348
2023-01-18,159928.SZ,1.111,1.12,1.095,1.097,2270535.0,250421585.9
2023-01-19,159928.SZ,1.095,1.098,1.083,1.093,2149822.0,234382427.3
2023-01-20,159928.SZ,1.1,1.108,1.09,1.091,2061319.0,225987022.8
2023-01-30,159928.SZ,1.112,1.115,1.098,1.102,3097254.0,342249388.933
2023-01-31,159928.SZ,1.103,1.112,1.08,1.083,2540980.0,277223871.56
2023-02-01,159928.SZ,1.085,1.093,1.072,1.092,1679813.0,182098091.3
2023-02-02,159928.SZ,1.092,1.102,1.083,1.097,1942118.0,212255925.0
2023-02-03,159928.SZ,1.09,1.09,1.075,1.086,2385072.0,258010643.43
2023-02-06,159928.SZ,1.07,1.074,1.054,1.067,4361806.0,464121965.912
2023-02-07,159928.SZ,1.067,1.076,1.063,1.068,3764600.0,402019211.251
2023-02-08,159928.SZ,1.07,1.072,1.056,1.059,1437313.0,152661725.548
2023-02-09,159928.SZ,1.056,1.081,1.056,1.078,2034776.0,218681210.167
2023-02-10,159928.SZ,1.082,1.087,1.073,1.08,1630795.0,176067873.0
2023-02-13,159928.SZ,1.079,1.11,1.078,1.104,2162232.0,237863840.386
2023-02-14,159928.SZ,1.111,1.111,1.097,1.1,1526910.0,168200480.865
2023-02-15,159928.SZ,1.101,1.107,1.09,1.093,1972679.0,216142515.2
2023-02-16,159928.SZ,1.091,1.11,1.084,1.091,2147043.0,235916523.6
2023-02-17,159928.SZ,1.091,1.108,1.085,1.085,2355753.0,258870042.051
2023-02-20,159928.SZ,1.084,1.106,1.076,1.104,2427237.0,264713471.7
2023-02-21,159928.SZ,1.104,1.107,1.093,1.098,2180092.0,239472197.5
2023-02-22,159928.SZ,1.099,1.109,1.092,1.101,1794243.0,197498180.836
2023-02-23,159928.SZ,1.101,1.105,1.084,1.09,1331017.0,145456491.112
2023-02-24,159928.SZ,1.088,1.089,1.072,1.079,1960141.0,211532987.3
2023-02-27,159928.SZ,1.072,1.09,1.07,1.086,1658648.0,179489998.75
2023-02-28,159928.SZ,1.087,1.094,1.078,1.089,1328064.0,144082868.8
2023-03-01,159928.SZ,1.09,1.099,1.081,1.098,1371934.0,149981504.9
2023-03-02,159928.SZ,1.097,1.098,1.09,1.093,1013397.0,110881074.8
2023-03-03,159928.SZ,1.096,1.103,1.082,1.089,1768670.0,192753570.1
2023-03-06,159928.SZ,1.09,1.093,1.077,1.085,1593067.0,173021039.9
2023-03-07,159928.SZ,1.083,1.085,1.061,1.062,1877961.0,201232912.437
2023-03-08,159928.SZ,1.061,1.064,1.05,1.054,1889197.0,199168306.1
2023-03-09,159928.SZ,1.053,1.059,1.039,1.05,1152144.0,121015822.2
2023-03-10,159928.SZ,1.044,1.05,1.034,1.034,1850297.0,192335619.8
2023-03-13,159928.SZ,1.032,1.054,1.032,1.054,1439382.0,150937547.965
2023-03-14,159928.SZ,1.053,1.058,1.044,1.053,1446322.0,152350965.6
2023-03-15,159928.SZ,1.058,1.063,1.044,1.046,1212693.0,127643221.805
2023-03-16,159928.SZ,1.04,1.052,1.035,1.035,1406201.0,146366604.6
2023-03-17,159928.SZ,1.044,1.048,1.023,1.028,1690831.0,174713265.4
2023-03-20,159928.SZ,1.028,1.03,1.008,1.013,2044496.0,207338391.055
2023-03-21,159928.SZ,1.016,1.038,1.012,1.033,1527072.0,156918814.875
2023-03-22,159928.SZ,1.037,1.045,1.03,1.033,1475984.0,153096265.1
2023-03-23,159928.SZ,1.028,1.045,1.028,1.039,1631355.0,169277189.5
2023-03-24,159928.SZ,1.039,1.047,1.034,1.038,1445421.0,150385454.3
2023-03-27,159928.SZ,1.038,1.04,1.029,1.035,1206295.0,124649239.6
2023-03-28,159928.SZ,1.037,1.053,1.034,1.049,1475108.0,154231489.2
2023-03-29,159928.SZ,1.052,1.056,1.044,1.051,1254668.0,131725339.1
2023-03-30,159928.SZ,1.05,1.065,1.047,1.062,1251224.0,132255714.083
2023-03-31,159928.SZ,1.068,1.082,1.063,1.066,1587726.0,170281416.552
2023-04-03,159928.SZ,1.066,1.072,1.059,1.064,1356448.0,144524870.398
2023-04-04,159928.SZ,1.068,1.076,1.061,1.074,2606168.0,278705498.4
2023-04-06,159928.SZ,1.067,1.075,1.054,1.058,1408593.0,149380764.364
2023-04-07,159928.SZ,1.058,1.063,1.048,1.052,2713355.0,285778409.65
2023-04-10,159928.SZ,1.051,1.051,1.028,1.041,1766555.0,182991939.842
2023-04-11,159928.SZ,1.04,1.042,1.026,1.029,1290629.0,133102772.7
2023-04-12,159928.SZ,1.029,1.033,1.004,1.01,2285300.0,231384760.6
2023-04-13,159928.SZ,1.006,1.015,1.0,1.011,1389174.0,140099223.4
2023-04-14,159928.SZ,1.012,1.015,1.001,1.003,1275176.0,128328174.4
2023-04-17,159928.SZ,1.004,1.017,1.004,1.012,1390315.0,140464186.1
2023-04-18,159928.SZ,1.014,1.022,1.012,1.019,1958173.0,199187866.387
2023-04-19,159928.SZ,1.025,1.025,1.007,1.01,1832131.0,185371090.3
2023-04-20,159928.SZ,1.01,1.011,0.996,0.999,1832201.0,183623491.9
2023-04-21,159928.SZ,0.997,1.007,0.992,0.994,1351415.0,135038207.6
2023-04-24,159928.SZ,0.992,0.993,0.971,0.976,1703512.0,166678413.782
2023-04-25,159928.SZ,0.975,0.987,0.972,0.987,1702533.0,166773563.302
2023-04-26,159928.SZ,0.986,0.988,0.975,0.984,1787283.0,175453942.7
2023-04-27,159928.SZ,0.984,0.996,0.978,0.991,1234785.0,121782173.9
2023-04-28,159928.SZ,0.994,1.007,0.994,1.002,4951603.0,495970521.0
2023-05-04,159928.SZ,1.002,1.01,0.989,0.989,1569801.0,156472106.4
2023-05-05,159928.SZ,0.992,0.996,0.984,0.995,1354369.0,134316440.0
2023-05-08,159928.SZ,0.995,1.0,0.984,0.987,1485151.0,146690201.6
2023-05-09,159928.SZ,0.983,0.997,0.977,0.987,1558645.0,153966892.256
2023-05-10,159928.SZ,0.984,0.986,0.977,0.981,1989755.0,194875241.3
2023-05-11,159928.SZ,0.981,0.989,0.976,0.978,816301.0,80096517.3
2023-05-12,159928.SZ,0.977,0.986,0.971,0.971,1103983.0,107806787.1
