trade_date,symbol,open,high,low,close,volume,amount,adj_factor
2023-01-03,159949.SZ,1.027,1.031,1.01,1.029,4973714.0,507749386.664,
2023-01-04,159949.SZ,1.023,1.026,1.012,1.017,3722215.0,379221591.876,
2023-01-05,159949.SZ,1.022,1.055,1.02,1.053,8770798.0,912350677.792,
2023-01-06,159949.SZ,1.049,1.074,1.046,1.065,8800861.0,934826053.837,
2023-01-09,159949.SZ,1.07,1.083,1.067,1.071,5656439.0,607765713.088,
2023-01-10,159949.SZ,1.07,1.094,1.069,1.091,6712832.0,727832756.505,
2023-01-11,159949.SZ,1.095,1.096,1.075,1.08,7889425.0,856567583.656,
2023-01-12,159949.SZ,1.083,1.094,1.079,1.084,4029235.0,437329151.896,
2023-01-13,159949.SZ,1.091,1.096,1.084,1.096,5336614.0,582264549.915,
2023-01-16,159949.SZ,1.1,1.133,1.097,1.12,8641938.0,966899972.647,
2023-01-17,159949.SZ,1.125,1.128,1.118,1.123,4224944.0,474619310.624,
2023-01-18,159949.SZ,1.127,1.129,1.117,1.121,4879438.0,547892083.922,
2023-01-19,159949.SZ,1.12,1.136,1.116,1.136,6256905.0,705483764.159,
2023-01-20,159949.SZ,1.138,1.143,1.132,1.141,5461551.0,621695597.755,
2023-01-30,159949.SZ,1.178,1.179,1.152,1.152,7159392.0,833467437.849,
2023-01-31,159949.SZ,1.153,1.158,1.135,1.139,4911945.0,563048163.285,
2023-02-01,159949.SZ,1.145,1.155,1.134,1.155,6109506.0,699932382.205,
2023-02-02,159949.SZ,1.158,1.161,1.144,1.145,6832041.0,786026781.766,
2023-02-03,159949.SZ,1.141,1.147,1.12,1.132,6099822.0,690533974.72,
2023-02-06,159949.SZ,1.121,1.124,1.105,1.113,7328624.0,815967678.417,
2023-02-07,159949.SZ,1.117,1.121,1.104,1.111,6643737.0,738129107.368,
2023-02-08,159949.SZ,1.113,1.119,1.105,1.105,5470037.0,608542582.219,
2023-02-09,159949.SZ,1.105,1.127,1.103,1.126,8644405.0,967495877.755,
2023-02-10,159949.SZ,1.122,1.125,1.107,1.114,5833993.0,650614851.206,
2023-02-13,159949.SZ,1.113,1.128,1.109,1.123,6010506.0,674449466.552,
2023-02-14,159949.SZ,1.129,1.131,1.112,1.118,4713045.0,527131900.337,
2023-02-15,159949.SZ,1.119,1.125,1.106,1.107,5105701.0,567569291.843,
2023-02-16,159949.SZ,1.109,1.118,1.085,1.094,6083332.0,673234431.978,
2023-02-17,159949.SZ,1.092,1.095,1.063,1.065,9847936.0,1060063032.229,
2023-02-20,159949.SZ,1.061,1.08,1.052,1.08,7860329.0,837895117.128,
2023-02-21,159949.SZ,1.075,1.078,1.065,1.072,6151612.0,659418657.029,
2023-02-22,159949.SZ,1.066,1.072,1.06,1.061,6182469.0,658422254.159,
2023-02-23,159949.SZ,1.063,1.072,1.061,1.068,5110026.0,544992176.718,
2023-02-24,159949.SZ,1.066,1.068,1.05,1.051,6604345.0,697053047.336,
2023-02-27,159949.SZ,1.045,1.053,1.04,1.044,6533630.0,682533953.37,
2023-02-28,159949.SZ,1.047,1.054,1.042,1.053,6426950.0,674078302.527,
2023-03-01,159949.SZ,1.051,1.06,1.044,1.056,10041540.0,1057011215.754,
2023-03-02,159949.SZ,1.055,1.055,1.042,1.043,7297932.0,764399821.428,
2023-03-03,159949.SZ,1.047,1.051,1.039,1.047,6818472.0,713298504.892,
2023-03-06,159949.SZ,1.048,1.052,1.031,1.052,10855438.0,1130533500.239,
2023-03-07,159949.SZ,1.046,1.05,1.031,1.031,10442734.0,1085833897.952,
2023-03-08,159949.SZ,1.028,1.034,1.022,1.029,7635707.0,784354632.3,
