trade_date,symbol,open,high,low,close,volume,amount
2023-01-03,512660.SH,1.075,1.104,1.071,1.1,4751043.0,518697747.0
2023-01-04,512660.SH,1.1,1.105,1.09,1.096,4079843.0,447537661.0
2023-01-05,512660.SH,1.095,1.102,1.093,1.102,3094176.0,340229954.0
2023-01-06,512660.SH,1.101,1.106,1.093,1.096,6016069.0,662470685.0
2023-01-09,512660.SH,1.096,1.097,1.079,1.083,5883803.0,638313524.0
2023-01-10,512660.SH,1.084,1.085,1.067,1.073,4669751.0,500358862.0
2023-01-11,512660.SH,1.072,1.079,1.059,1.061,3074585.0,328478017.0
2023-01-12,512660.SH,1.077,1.082,1.062,1.065,4672596.0,500350605.0
2023-01-13,512660.SH,1.065,1.069,1.053,1.062,4011381.0,424742546.0
2023-01-16,512660.SH,1.063,1.081,1.061,1.079,5834805.0,627092372.0
2023-01-17,512660.SH,1.08,1.096,1.074,1.088,6378038.0,693438487.0
2023-01-18,512660.SH,1.089,1.095,1.083,1.092,4166653.0,454575288.0
2023-01-19,512660.SH,1.088,1.112,1.087,1.11,4709366.0,518883374.0
2023-01-20,512660.SH,1.111,1.123,1.109,1.118,4518578.0,504252738.0
2023-01-30,512660.SH,1.133,1.154,1.124,1.143,6962138.0,793603587.0
2023-01-31,512660.SH,1.138,1.15,1.136,1.147,4705772.0,538699761.0
2023-02-01,512660.SH,1.149,1.16,1.143,1.159,4185634.0,482049406.0
2023-02-02,512660.SH,1.163,1.168,1.14,1.143,4920882.0,565940571.0
2023-02-03,512660.SH,1.138,1.158,1.132,1.157,4768217.0,545130964.0
2023-02-06,512660.SH,1.153,1.161,1.142,1.148,3257739.0,374766347.0
2023-02-07,512660.SH,1.148,1.151,1.135,1.143,2902773.0,330973876.0
2023-02-08,512660.SH,1.143,1.143,1.123,1.124,3076985.0,347509743.0
2023-02-09,512660.SH,1.123,1.149,1.12,1.148,4141847.0,472187126.0
2023-02-10,512660.SH,1.146,1.149,1.132,1.137,3078962.0,350785534.0
2023-02-13,512660.SH,1.141,1.155,1.139,1.144,3554051.0,407283864.0
2023-02-14,512660.SH,1.144,1.146,1.133,1.138,2304417.0,262116507.0
2023-02-15,512660.SH,1.138,1.146,1.133,1.144,3157434.0,359495327.0
2023-02-16,512660.SH,1.143,1.146,1.111,1.123,3894320.0,440752813.0
2023-02-17,512660.SH,1.121,1.123,1.102,1.112,3859623.0,429464687.0
2023-02-20,512660.SH,1.11,1.118,1.096,1.116,3643064.0,403684430.0
2023-02-21,512660.SH,1.116,1.135,1.113,1.125,4153025.0,467109684.0
2023-02-22,512660.SH,1.12,1.134,1.118,1.129,2633208.0,297161860.0
2023-02-23,512660.SH,1.129,1.132,1.119,1.122,3166739.0,355945595.0
2023-02-24,512660.SH,1.122,1.148,1.122,1.14,5217598.0,595067212.0
2023-02-27,512660.SH,1.142,1.149,1.131,1.135,4081823.0,465102441.0
2023-02-28,512660.SH,1.133,1.139,1.127,1.137,2198603.0,249308616.0
2023-03-01,512660.SH,1.135,1.145,1.132,1.144,3418569.0,389738754.0
2023-03-02,512660.SH,1.144,1.158,1.142,1.145,4240582.0,488037940.0
2023-03-03,512660.SH,1.146,1.168,1.142,1.168,6674582.0,774333079.0
2023-03-06,512660.SH,1.175,1.187,1.17,1.175,6551120.0,771791350.0
2023-03-07,512660.SH,1.171,1.174,1.148,1.15,4553047.0,528510731.0
2023-03-08,512660.SH,1.146,1.168,1.143,1.166,3385742.0,392420051.0
2023-03-09,512660.SH,1.163,1.169,1.149,1.156,2116465.0,244923494.0
2023-03-10,512660.SH,1.15,1.154,1.137,1.138,2600272.0,297588958.0
2023-03-13,512660.SH,1.133,1.15,1.131,1.15,2191036.0,250416816.0
2023-03-14,512660.SH,1.147,1.154,1.129,1.144,2879772.0,329507013.0
2023-03-15,512660.SH,1.146,1.151,1.135,1.142,2340314.0,267220774.0
2023-03-16,512660.SH,1.133,1.136,1.11,1.112,4083028.0,457672250.0
2023-03-17,512660.SH,1.119,1.13,1.116,1.121,2759892.0,309756418.0
2023-03-20,512660.SH,1.125,1.125,1.105,1.107,2788710.0,310156890.0
2023-03-21,512660.SH,1.121,1.138,1.121,1.129,3944450.0,445633807.0
2023-03-22,512660.SH,1.129,1.13,1.122,1.126,2318402.0,260882062.0
2023-03-23,512660.SH,1.123,1.137,1.119,1.135,3822605.0,431365546.0
2023-03-24,512660.SH,1.134,1.134,1.12,1.126,3583093.0,402942248.0
2023-03-27,512660.SH,1.124,1.124,1.108,1.114,4002559.0,446082394.0
2023-03-28,512660.SH,1.112,1.115,1.096,1.097,3212649.0,354924103.0
2023-03-29,512660.SH,1.098,1.099,1.081,1.086,3915499.0,424773519.0
2023-03-30,512660.SH,1.083,1.09,1.08,1.088,3141039.0,340829326.0
2023-03-31,512660.SH,1.087,1.091,1.084,1.091,3728022.0,405573144.0
2023-04-03,512660.SH,1.091,1.11,1.089,1.109,4197154.0,462652817.0
2023-04-04,512660.SH,1.11,1.113,1.101,1.107,3222620.0,356091298.0
2023-04-06,512660.SH,1.107,1.123,1.099,1.122,6225240.0,692623815.0
2023-04-07,512660.SH,1.119,1.129,1.117,1.125,3517571.0,395196517.0
2023-04-10,512660.SH,1.132,1.135,1.114,1.117,3127099.0,351522864.0
