trade_date,symbol,open,high,low,close,volume,amount,adj_factor
2023-01-03,512880.SH,0.861,0.866,0.842,0.864,16160583.0,1377505857.0,
2023-01-04,512880.SH,0.861,0.871,0.861,0.866,10443106.0,905089795.0,
2023-01-05,512880.SH,0.871,0.888,0.871,0.883,13998419.0,1230910632.0,
2023-01-06,512880.SH,0.881,0.891,0.879,0.884,11751901.0,1039780129.0,
2023-01-09,512880.SH,0.887,0.909,0.887,0.899,14355724.0,1290592668.0,
2023-01-10,512880.SH,0.9,0.912,0.896,0.898,10136454.0,915545430.0,
2023-01-11,512880.SH,0.9,0.903,0.89,0.892,9051595.0,810683531.0,
2023-01-12,512880.SH,0.894,0.9,0.888,0.9,7961004.0,712167876.0,
2023-01-13,512880.SH,0.903,0.918,0.897,0.918,12982425.0,1179206356.0,
2023-01-16,512880.SH,0.921,0.968,0.918,0.947,25597883.0,2426676738.0,
2023-01-17,512880.SH,0.942,0.96,0.94,0.959,17470809.0,1662339368.0,
2023-01-18,512880.SH,0.957,0.965,0.954,0.955,8519529.0,815777268.0,
2023-01-19,512880.SH,0.951,0.976,0.95,0.975,11937831.0,1151367559.0,
2023-01-20,512880.SH,0.977,0.977,0.96,0.969,11870103.0,1147974610.0,
2023-01-30,512880.SH,0.985,0.99,0.96,0.961,18017773.0,1747317535.0,
2023-01-31,512880.SH,0.96,0.968,0.949,0.956,12234593.0,1169925808.0,
2023-02-01,512880.SH,0.957,0.982,0.954,0.981,14475003.0,1397044432.0,
2023-02-02,512880.SH,0.995,0.997,0.959,0.961,20989647.0,2034991984.0,
2023-02-03,512880.SH,0.951,0.96,0.943,0.953,14160549.0,1347737713.0,
2023-02-06,512880.SH,0.945,0.946,0.934,0.935,10475216.0,983236825.0,
2023-02-07,512880.SH,0.939,0.942,0.933,0.938,7275062.0,682297473.0,
2023-02-08,512880.SH,0.94,0.941,0.928,0.929,7737041.0,722581441.0,
2023-02-09,512880.SH,0.929,0.945,0.927,0.944,11033527.0,1036049835.0,
2023-02-10,512880.SH,0.941,0.944,0.933,0.936,7960067.0,746472039.0,
2023-02-13,512880.SH,0.933,0.943,0.93,0.942,10014391.0,939608810.0,
2023-02-14,512880.SH,0.943,0.944,0.934,0.94,6882874.0,646023592.0,
2023-02-15,512880.SH,0.938,0.94,0.93,0.931,7424131.0,692819621.0,
2023-02-16,512880.SH,0.932,0.949,0.918,0.926,17538624.0,1645101983.0,
2023-02-17,512880.SH,0.923,0.927,0.908,0.909,10971164.0,1005797961.0,
2023-02-20,512880.SH,0.919,0.947,0.915,0.946,19142294.0,1783400373.0,
2023-02-21,512880.SH,0.942,0.95,0.939,0.948,10464925.0,988721297.0,
2023-02-22,512880.SH,0.943,0.951,0.936,0.939,9885412.0,932085010.0,
2023-02-23,512880.SH,0.939,0.956,0.939,0.947,11672531.0,1107327187.0,
2023-02-24,512880.SH,0.946,0.947,0.928,0.931,10175315.0,950923832.0,
2023-02-27,512880.SH,0.923,0.926,0.917,0.919,7097779.0,653805415.0,
2023-02-28,512880.SH,0.923,0.928,0.917,0.927,7119501.0,657300869.0,
2023-03-01,512880.SH,0.927,0.943,0.924,0.94,11458740.0,1072633378.0,
2023-03-02,512880.SH,0.938,0.942,0.935,0.937,6794921.0,637081856.0,
2023-03-03,512880.SH,0.94,0.947,0.933,0.944,9819292.0,924055917.0,
2023-03-06,512880.SH,0.944,0.945,0.929,0.93,10233397.0,956341521.0,
2023-03-07,512880.SH,0.928,0.938,0.913,0.914,12854408.0,1190548749.0,
2023-03-08,512880.SH,0.911,0.913,0.908,0.913,7155005.0,651602104.0,
2023-03-09,512880.SH,0.913,0.915,0.906,0.908,6277605.0,571258099.0,
2023-03-10,512880.SH,0.903,0.906,0.896,0.896,8767957.0,789163109.0,
2023-03-13,512880.SH,0.896,0.903,0.892,0.9,6676955.0,599366104.0,
2023-03-14,512880.SH,0.898,0.899,0.882,0.891,8468060.0,754253173.0,
2023-03-15,512880.SH,0.898,0.903,0.895,0.896,7235720.0,650828171.0,
2023-03-16,512880.SH,0.891,0.897,0.888,0.89,6281459.0,560586073.0,
2023-03-17,512880.SH,0.897,0.914,0.897,0.905,12141005.0,1099166292.0,
2023-03-20,512880.SH,0.904,0.911,0.894,0.895,8849883.0,797930249.0,
2023-03-21,512880.SH,0.899,0.905,0.896,0.903,7278756.0,655820159.0,
2023-03-22,512880.SH,0.904,0.907,0.893,0.898,10293233.0,925423514.0,
2023-03-23,512880.SH,0.893,0.909,0.892,0.909,10665438.0,962398506.0,
2023-03-24,512880.SH,0.909,0.916,0.906,0.911,8751912.0,797572910.0,
2023-03-27,512880.SH,0.911,0.919,0.906,0.916,9969969.0,910337011.0,
2023-03-28,512880.SH,0.913,0.916,0.905,0.906,7007504.0,636479210.0,
2023-03-29,512880.SH,0.909,0.91,0.897,0.901,8069409.0,727788915.0,
2023-03-30,512880.SH,0.901,0.909,0.89,0.906,10912176.0,981833007.0,
2023-03-31,512880.SH,0.905,0.909,0.902,0.905,8096676.0,732869592.0,
2023-04-03,512880.SH,0.905,0.943,0.903,0.942,27625429.0,2565941760.0,
2023-04-04,512880.SH,0.942,0.951,0.94,0.946,14265382.0,1349156951.0,
2023-04-06,512880.SH,0.943,0.946,0.934,0.939,9983023.0,937697099.0,
2023-04-07,512880.SH,0.94,0.953,0.936,0.949,14201664.0,1344020526.0,
2023-04-10,512880.SH,0.958,0.962,0.938,0.939,16436816.0,1561792842.0,
2023-04-11,512880.SH,0.946,0.964,0.945,0.949,13675948.0,1303748815.0,
2023-04-12,512880.SH,0.95,0.959,0.945,0.952,9770636.0,929219520.0,
2023-04-13,512880.SH,0.947,0.948,0.937,0.94,11352440.0,1069821864.0,
2023-04-14,512880.SH,0.942,0.945,0.934,0.941,10998628.0,1033636156.0,
2023-04-17,512880.SH,0.941,0.968,0.94,0.967,20073139.0,1925078992.0,
2023-04-18,512880.SH,0.966,0.974,0.958,0.962,12977650.0,1251135727.0,
2023-04-19,512880.SH,0.959,0.96,0.945,0.947,12883287.0,1226462949.0,
2023-04-20,512880.SH,0.945,0.951,0.94,0.951,10359478.0,979319764.0,
2023-04-21,512880.SH,0.95,0.951,0.913,0.916,16628775.0,1546439220.0,
2023-04-24,512880.SH,0.911,0.916,0.895,0.9,13076761.0,1183193470.0,
2023-04-25,512880.SH,0.902,0.91,0.894,0.904,11719300.0,1056005945.0,
2023-04-26,512880.SH,0.9,0.905,0.896,0.902,7781711.0,700825202.0,
2023-04-27,512880.SH,0.9,0.911,0.896,0.908,11426659.0,1032665864.0,
2023-04-28,512880.SH,0.912,0.935,0.907,0.928,15866300.0,1465368779.0,
2023-05-04,512880.SH,0.922,0.941,0.918,0.939,11274649.0,1051274128.0,
2023-05-05,512880.SH,0.939,0.972,0.939,0.953,21870580.0,2099344296.0,
2023-05-08,512880.SH,0.951,0.983,0.944,0.972,18716995.0,1808500222.0,
2023-05-09,512880.SH,0.976,1.027,0.971,0.983,35782528.0,3581015793.0,
2023-05-10,512880.SH,0.973,0.981,0.952,0.955,14233787.0,1372328799.0,
2023-05-11,512880.SH,0.958,0.966,0.953,0.954,7892655.0,756727335.0,
