symbol,target_weight,rebalance_date,score,rank,hold_reason
512100.SH,0.11333333333333334,2023-07-07,-0.01982154335914781,1,risk_off_scaled
512880.SH,0.11333333333333334,2023-07-07,-0.020111770511249197,2,risk_off_scaled
510300.SH,0.11333333333333334,2023-07-07,-0.023031239395491346,3,risk_off_scaled
510300.SH,0.11333333333333334,2023-07-14,-0.009071142773837516,1,risk_off_scaled
512880.SH,0.11333333333333334,2023-07-14,-0.011381640791181624,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-07-14,-0.01609361442109276,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-07-21,-0.013912072953699273,1,risk_off_scaled
510500.SH,0.11333333333333334,2023-07-21,-0.025547755677640296,2,risk_off_scaled
510300.SH,0.11333333333333334,2023-07-21,-0.028422204394173867,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-07-28,0.11281523031266331,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-07-28,0.019504392203837418,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-07-28,-0.011135940247126497,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-08-04,0.1482002754897845,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-08-04,0.034914207903856305,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-08-04,0.011548525136786747,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-08-11,0.11292159322188278,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-08-11,-0.0075240952495811315,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-08-11,-0.026230768225654354,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-08-18,0.12419337219696175,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-08-18,-0.017369688534912053,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-08-18,-0.036124526010083716,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-08-25,0.053583232498555726,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-08-25,-0.049295793327165695,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-08-25,-0.08288821653954696,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-09-01,0.017022630903185832,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-09-01,-0.02506698951838205,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-09-01,-0.05326170283186402,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-09-08,0.025837507431796823,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-09-08,-0.029718645111355402,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-09-08,-0.04720110042288388,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-09-15,0.020982479256974607,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-09-15,-0.03137824752351009,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-09-15,-0.03969815035196747,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-09-22,0.0486227433054749,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-09-22,-0.01531279094437479,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-09-22,-0.02672314629693824,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-10-13,-0.0011906249586157503,1,risk_off_scaled
510300.SH,0.11333333333333334,2023-10-13,-0.051613765551029964,2,risk_off_scaled
512100.SH,0.11333333333333334,2023-10-13,-0.053412887841450485,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-10-20,0.006442674669634109,1,risk_off_scaled
510500.SH,0.11333333333333334,2023-10-20,-0.08466773174120222,2,risk_off_scaled
510300.SH,0.11333333333333334,2023-10-20,-0.08637933149615673,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-10-27,0.0141377239174596,1,risk_off_scaled
512100.SH,0.11333333333333334,2023-10-27,-0.05392683511781058,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-10-27,-0.06074744533325889,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-11-03,-0.048937079336128786,1,risk_off_scaled
512100.SH,0.11333333333333334,2023-11-03,-0.05980226439542806,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-11-03,-0.07349269818992606,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-11-10,-0.011836026288976908,1,risk_off_scaled
512100.SH,0.11333333333333334,2023-11-10,-0.03366957296807807,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-11-10,-0.05208304613445465,3,risk_off_scaled
512100.SH,0.11333333333333334,2023-11-17,0.019266016141904554,1,risk_off_scaled
512880.SH,0.11333333333333334,2023-11-17,0.009205809025569466,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-11-17,-0.014648766936931356,3,risk_off_scaled
512100.SH,0.11333333333333334,2023-11-24,0.008864689831471772,1,risk_off_scaled
512880.SH,0.11333333333333334,2023-11-24,0.003488888031923442,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-11-24,-0.014591352260421719,3,risk_off_scaled
512100.SH,0.11333333333333334,2023-12-01,0.0028050814268227846,1,risk_off_scaled
512880.SH,0.11333333333333334,2023-12-01,0.004358749073336776,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-12-01,-0.021132564986113378,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-12-08,-0.026360926178444367,1,risk_off_scaled
512100.SH,0.11333333333333334,2023-12-08,-0.02710768333991345,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-12-08,-0.038684341531739656,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-12-15,-0.03453691841924883,1,risk_off_scaled
512100.SH,0.11333333333333334,2023-12-15,-0.04590113271513155,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-12-15,-0.05446287031508708,3,risk_off_scaled
512880.SH,0.11333333333333334,2023-12-22,-0.04502736083029363,1,risk_off_scaled
512100.SH,0.11333333333333334,2023-12-22,-0.061612560458943234,2,risk_off_scaled
510500.SH,0.11333333333333334,2023-12-22,-0.06267737256470271,3,risk_off_scaled
