trade_date,signal_date,symbol,side,quantity,price,gross_amount,commission,stamp_duty,net_amount,realized_pnl
2023-07-10,2023-07-07,510880.SH,BUY,43900,2.5452719999999998,111737.44079999998,33.52123223999999,0.0,111770.96203223999,0.0
2023-07-10,2023-07-07,512100.SH,BUY,50600,2.555277,129297.01619999998,38.789104859999995,0.0,129335.80530485998,0.0
2023-07-10,2023-07-07,512660.SH,BUY,89500,1.102551,98678.31450000001,29.60349435,0.0,98707.91799435,0.0
2023-07-24,2023-07-21,510880.SH,SELL,500,2.552723,1276.3615,5.0,0.0,1271.3615,-1.6562907999998515
2023-07-24,2023-07-21,512100.SH,SELL,50600,2.4927530000000004,126133.30180000002,37.83999054,0.0,126095.46180946002,-3240.3434953999677
2023-07-24,2023-07-21,512660.SH,BUY,2500,1.0655325,2663.83125,5.0,0.0,2668.83125,0.0
2023-07-24,2023-07-21,512880.SH,BUY,127900,0.8954475,114527.73525,34.35832057499999,0.0,114562.093570575,0.0
2023-08-07,2023-08-04,510880.SH,SELL,700,2.654672,1858.2704,5.0,0.0,1853.2704,71.04549288000044
2023-08-07,2023-08-04,512660.SH,SELL,92000,1.067466,98206.872,29.4620616,0.0,98177.4099384,-3199.3393059500086
2023-08-07,2023-08-04,512880.SH,SELL,15400,1.0404795,16023.3843,5.0,0.0,16018.3843,2224.35583255
2023-08-07,2023-08-04,510300.SH,BUY,32700,3.7978979999999996,124191.26459999998,37.25737937999999,0.0,124228.52197937998,0.0
2023-08-21,2023-08-18,510300.SH,BUY,1700,3.5647815,6060.12855,5.0,0.0,6065.12855,0.0
2023-08-21,2023-08-18,510880.SH,BUY,200,2.6143064999999996,522.8612999999999,5.0,0.0,527.8612999999999,0.0
2023-08-21,2023-08-18,512880.SH,BUY,2000,1.010505,2021.01,5.0,0.0,2026.01,0.0
2023-09-04,2023-09-01,510300.SH,SELL,34400,3.6081950000000003,124121.90800000001,37.2365724,0.0,124084.67142760001,-6208.979101779958
2023-09-04,2023-09-01,510880.SH,SELL,200,2.6146920000000002,522.9384,5.0,0.0,517.9384,8.64431778871807
2023-09-04,2023-09-01,159928.SZ,BUY,127000,0.9494744999999999,120583.26149999998,36.17497844999999,0.0,120619.43647844998,0.0
2023-09-04,2023-09-01,512880.SH,BUY,4100,0.9734864999999999,3991.29465,5.0,0.0,3996.29465,0.0
2023-09-18,2023-09-15,510880.SH,SELL,1000,2.666666,2666.666,5.0,0.0,2661.666,115.19558894359079
2023-09-18,2023-09-15,159928.SZ,BUY,2600,0.9274635,2411.4051,5.0,0.0,2416.4051,0.0
2023-09-18,2023-09-15,512880.SH,BUY,2300,0.9514754999999999,2188.39365,5.0,0.0,2193.39365,0.0
2023-10-16,2023-10-13,159928.SZ,SELL,129600,0.887556,115027.2576,34.50817728,0.0,114992.74942272,-8043.092155729988
2023-10-16,2023-10-13,510880.SH,BUY,100,2.643321,264.33209999999997,5.0,0.0,269.33209999999997,0.0
