rebalance_date,symbol,target_weight,rank,momentum_score
2023-05-19,588000.SH,0.25,1,0.10944688411795692
2023-05-19,512880.SH,0.25,2,0.002482813276297994
2023-05-19,510500.SH,0.25,3,0.0015964555286286037
2023-05-19,512660.SH,0.25,4,-0.005173906189686147
2023-05-26,588000.SH,0.25,1,0.057556720288431305
2023-05-26,512880.SH,0.25,2,-9.207924748440154e-05
2023-05-26,510500.SH,0.25,3,-0.001139501592844472
2023-05-26,512660.SH,0.25,4,-0.01926719331548194
2023-06-02,588000.SH,0.25,1,0.034065365238947404
2023-06-02,512880.SH,0.25,2,-0.006050484086873887
2023-06-02,510500.SH,0.25,3,-0.023919722475951172
2023-06-02,512660.SH,0.25,4,-0.08533679099400317
2023-06-09,588000.SH,0.25,1,0.021232336125090737
2023-06-09,512880.SH,0.25,2,-0.0068034831982263875
2023-06-09,510500.SH,0.25,3,-0.059696702338041
2023-06-09,510300.SH,0.25,4,-0.10619085385798546
2023-06-16,588000.SH,0.25,1,0.019289013237957776
2023-06-16,512880.SH,0.25,2,-0.006191168761199464
2023-06-16,510500.SH,0.25,3,-0.06674915767173682
2023-06-16,510300.SH,0.25,4,-0.09691476448479353
2023-06-21,588000.SH,0.25,1,0.01828599279649493
2023-06-21,512880.SH,0.25,2,-0.00840880074557916
2023-06-21,510500.SH,0.25,3,-0.0694339538133811
2023-06-21,510300.SH,0.25,4,-0.09318978674286771
2023-06-30,588000.SH,0.25,1,0.005522861401134411
2023-06-30,512880.SH,0.25,2,-0.02004966086264676
2023-06-30,510500.SH,0.25,3,-0.08167462000836591
2023-06-30,510300.SH,0.25,4,-0.09290329364791095
2023-07-07,588000.SH,0.25,1,1.5875874897107062e-05
2023-07-07,512880.SH,0.25,2,-0.022531487371793807
2023-07-07,512660.SH,0.25,3,-0.06538282558779134
2023-07-07,510300.SH,0.25,4,-0.08202824921039906
2023-07-14,588000.SH,0.25,1,-0.003977055090214205
2023-07-14,512880.SH,0.25,2,-0.022191528525020512
2023-07-14,512660.SH,0.25,3,-0.036894254105754164
2023-07-14,510300.SH,0.25,4,-0.0659430314074937
2023-07-21,512660.SH,0.25,1,-0.014934360521434974
2023-07-21,512880.SH,0.25,2,-0.023081733720483853
2023-07-21,588000.SH,0.25,3,-0.04230185578263675
2023-07-21,510300.SH,0.25,4,-0.054700333108580856
2023-07-28,512660.SH,0.25,1,-0.00720289744269048
2023-07-28,512880.SH,0.25,2,-0.011794429135094103
2023-07-28,510300.SH,0.25,3,-0.04307000575872295
2023-07-28,510500.SH,0.25,4,-0.08228404590382016
2023-08-04,512880.SH,0.25,1,-6.774305022263311e-06
2023-08-04,512660.SH,0.25,2,-0.003405459444614919
2023-08-04,510300.SH,0.25,3,-0.01717631644542058
2023-08-04,510500.SH,0.25,4,-0.06544430016202522
2023-08-11,512880.SH,0.25,1,0.0037048360802221
2023-08-11,510300.SH,0.25,2,-0.005797850428950956
