trade_date,signal_date,symbol,side,quantity,price,gross_amount,commission,stamp_duty,net_amount,realized_pnl
2023-05-22,2023-05-19,510500.SH,BUY,42200,5.9199585,249822.2487,74.94667460999999,0.0,249897.19537461,0.0
2023-05-22,2023-05-19,512660.SH,BUY,226100,1.1055525,249965.42025,74.98962607499999,0.0,250040.409876075,0.0
2023-05-22,2023-05-19,512880.SH,BUY,269800,0.926463,249959.71740000002,74.98791522,0.0,250034.70531522002,0.0
2023-05-22,2023-05-19,588000.SH,BUY,230400,1.0845420000000001,249878.47680000003,74.96354304,0.0,249953.44034304004,0.0
2023-05-29,2023-05-26,510500.SH,SELL,100,5.847075,584.7075,5.0,0.0,579.7075,-12.465948755
2023-05-29,2023-05-26,588000.SH,SELL,3300,1.0854570000000001,3582.0081000000005,5.0,0.0,3577.0081000000005,-3.05419658000028
2023-05-29,2023-05-26,512660.SH,BUY,600,1.088544,653.1264,5.0,0.0,658.1264,0.0
2023-05-29,2023-05-26,512880.SH,BUY,2800,0.9054525,2535.267,5.0,0.0,2540.267,0.0
2023-06-05,2023-06-02,510500.SH,SELL,300,5.902047500000001,1770.6142500000003,5.0,0.0,1765.6142500000003,-10.906096264999405
2023-06-05,2023-06-02,588000.SH,SELL,3300,1.1044475,3644.67675,5.0,0.0,3639.67675,59.614453419999336
2023-06-05,2023-06-02,512660.SH,BUY,2700,1.078539,2912.0553,5.0,0.0,2917.0553,0.0
2023-06-05,2023-06-02,512880.SH,BUY,2500,0.8994495,2248.62375,5.0,0.0,2253.62375,0.0
2023-06-12,2023-06-09,510500.SH,SELL,400,5.8320825,2332.833,5.0,0.0,2327.833,-40.86079501999984
2023-06-12,2023-06-09,512660.SH,SELL,229400,1.035482,237539.57080000002,71.26187124,0.0,237468.30892876,-16147.282647315093
2023-06-12,2023-06-09,512880.SH,SELL,3000,0.8885555,2665.6665000000003,5.0,0.0,2660.6665000000003,-118.27129787589956
2023-06-12,2023-06-09,510300.SH,BUY,67900,3.5617799999999997,241844.862,72.55345859999998,0.0,241917.4154586,0.0
2023-06-12,2023-06-09,588000.SH,BUY,1000,1.076538,1076.538,5.0,0.0,1081.538,0.0
2023-06-19,2023-06-16,510300.SH,SELL,900,3.6971505000000002,3327.4354500000004,5.0,0.0,3322.4354500000004,115.87176940000018
2023-06-19,2023-06-16,512880.SH,BUY,1900,0.9054525,1720.35975,5.0,0.0,1725.35975,0.0
2023-06-19,2023-06-16,588000.SH,BUY,1000,1.098549,1098.549,5.0,0.0,1103.549,0.0
2023-06-26,2023-06-21,510300.SH,SELL,200,3.584207,716.8414,5.0,0.0,711.8414,-0.7283067999999275
2023-06-26,2023-06-21,510500.SH,SELL,100,5.8010980000000005,580.1098000000001,5.0,0.0,575.1098000000001,-17.063648754999917
2023-06-26,2023-06-21,512880.SH,BUY,1000,0.872436,872.436,5.0,0.0,877.436,0.0
2023-06-26,2023-06-21,588000.SH,BUY,600,1.0595294999999998,635.7176999999999,5.0,0.0,640.7176999999999,0.0
2023-07-03,2023-06-30,510300.SH,SELL,100,3.6081950000000003,360.8195,5.0,0.0,355.8195,-0.4653533999999695
2023-07-03,2023-06-30,510500.SH,SELL,300,5.861068,1758.3204,5.0,0.0,1753.3204,-23.199946264999653
2023-07-03,2023-06-30,512880.SH,SELL,900,0.8785605000000001,790.7044500000001,5.0,0.0,785.7044500000001,-47.70358132948968
2023-07-03,2023-06-30,588000.SH,BUY,2400,1.0535264999999998,2528.4635999999996,5.0,0.0,2533.4635999999996,0.0
2023-07-10,2023-07-07,510500.SH,SELL,41000,5.835081000000001,239238.32100000003,71.7714963,0.0,239166.54950370002,-3624.564485849958
2023-07-10,2023-07-07,512880.SH,SELL,4700,0.893553,4199.6991,5.0,0.0,4194.6991,-157.542841387336
2023-07-10,2023-07-07,512660.SH,BUY,218500,1.102551,240907.3935,72.27221804999999,0.0,240979.66571805,0.0
2023-07-10,2023-07-07,588000.SH,BUY,3000,1.0395195,3118.5584999999996,5.0,0.0,3123.5584999999996,0.0
2023-07-17,2023-07-14,510300.SH,SELL,900,3.664167,3297.7503,5.0,0.0,3292.7503,86.18661939999993
2023-07-17,2023-07-14,512880.SH,SELL,1200,0.8995500000000001,1079.46,5.0,0.0,1074.46,-36.750708439319624
2023-07-17,2023-07-14,512660.SH,BUY,2200,1.094547,2408.0034,5.0,0.0,2413.0034,0.0
2023-07-17,2023-07-14,588000.SH,BUY,1700,1.034517,1758.6788999999999,5.0,0.0,1763.6788999999999,0.0
2023-07-24,2023-07-21,512880.SH,SELL,4200,0.8945525000000001,3757.1205000000004,5.0,0.0,3752.1205000000004,-137.1169795376186
2023-07-24,2023-07-21,512660.SH,BUY,1100,1.0655325,1172.08575,5.0,0.0,1177.08575,0.0
2023-07-24,2023-07-21,588000.SH,BUY,2700,1.0005,2701.35,5.0,0.0,2706.35,0.0
2023-07-31,2023-07-28,510300.SH,SELL,500,3.81809,1909.045,5.0,0.0,1904.045,122.62073299999997
2023-07-31,2023-07-28,512880.SH,SELL,20600,1.025487,21125.0322,6.33750966,0.0,21118.694690340002,2042.910862131681
2023-07-31,2023-07-28,588000.SH,SELL,236200,1.009495,238442.719,71.5328157,0.0,238371.18618430002,-17374.985265579977
2023-07-31,2023-07-28,510500.SH,BUY,42100,5.9289629999999995,249609.3423,74.88280268999999,0.0,249684.22510269,0.0
2023-07-31,2023-07-28,512660.SH,BUY,10900,1.0735365,11701.547849999999,5.0,0.0,11706.547849999999,0.0
2023-08-07,2023-08-04,510500.SH,SELL,300,5.991003,1797.3009,5.0,0.0,1792.3009,13.078393330000154
2023-08-07,2023-08-04,512880.SH,SELL,2700,1.0404795,2809.29465,5.0,0.0,2804.29465,304.07055601153024
2023-08-07,2023-08-04,510300.SH,BUY,700,3.7978979999999996,2658.5285999999996,5.0,0.0,2663.5285999999996,0.0
2023-08-07,2023-08-04,512660.SH,BUY,1900,1.068534,2030.2146000000002,5.0,0.0,2035.2146000000002,0.0
2023-08-14,2023-08-11,512660.SH,SELL,1300,1.0324834999999999,1342.2285499999998,5.0,0.0,1337.2285499999998,-94.1651947291773
2023-08-14,2023-08-11,512880.SH,SELL,1100,1.005497,1106.0467,5.0,0.0,1101.0467,82.43688393062371
2023-08-14,2023-08-11,510300.SH,BUY,200,3.6408194999999997,728.1638999999999,5.0,0.0,733.1638999999999,0.0
2023-08-14,2023-08-11,510500.SH,BUY,200,5.732865,1146.573,5.0,0.0,1151.573,0.0
2023-08-21,2023-08-18,510500.SH,SELL,42000,5.628184500000001,236383.749,70.91512469999999,0.0,236312.8338753,-12743.741720719961
2023-08-21,2023-08-18,512660.SH,SELL,3100,1.0394800000000002,3222.3880000000004,5.0,0.0,3217.3880000000004,-195.9355451234219
2023-08-21,2023-08-18,512880.SH,SELL,2600,1.009495,2624.687,5.0,0.0,2619.687,212.06379838147404
2023-08-21,2023-08-18,159928.SZ,BUY,257100,0.9314655,239479.78004999997,71.84393401499999,0.0,239551.62398401496,0.0
2023-08-21,2023-08-18,510300.SH,BUY,900,3.5647815,3208.30335,5.0,0.0,3213.30335,0.0
2023-08-28,2023-08-25,510300.SH,SELL,200,3.7291345000000002,745.8269,5.0,0.0,740.8269,27.670401877198174
2023-08-28,2023-08-25,512880.SH,SELL,9600,1.0974510000000002,10535.529600000002,5.0,0.0,10530.529600000002,1640.8439324854444
2023-08-28,2023-08-25,159928.SZ,BUY,400,0.9704849999999999,388.19399999999996,5.0,0.0,393.19399999999996,0.0
2023-08-28,2023-08-25,512660.SH,BUY,10200,1.0395195,10603.098899999999,5.0,0.0,10608.098899999999,0.0
2023-09-04,2023-09-01,159928.SZ,SELL,5900,0.9485255,5596.30045,5.0,0.0,5591.30045,93.53568842451114
2023-09-04,2023-09-01,510300.SH,SELL,800,3.6081950000000003,2886.556,5.0,0.0,2881.556,28.93000750879264
2023-09-04,2023-09-01,512660.SH,SELL,8800,1.0304845,9068.2636,5.0,0.0,9063.2636,-603.3716353083892
2023-09-04,2023-09-01,512880.SH,BUY,18000,0.9734864999999999,17522.756999999998,5.256827099999999,0.0,17528.013827099996,0.0
2023-09-11,2023-09-08,512660.SH,SELL,8000,1.0624685,8499.748,5.0,0.0,8494.748,-293.10221391671803
2023-09-11,2023-09-08,159928.SZ,BUY,3400,0.932466,3170.3844,5.0,0.0,3175.3844,0.0
2023-09-11,2023-09-08,510300.SH,BUY,1200,3.5317649999999996,4238.1179999999995,5.0,0.0,4243.1179999999995,0.0
2023-09-11,2023-09-08,512880.SH,BUY,1100,0.964482,1060.9302,5.0,0.0,1065.9302,0.0
2023-09-18,2023-09-15,159928.SZ,SELL,2700,0.9265365000000001,2501.6485500000003,5.0,0.0,2496.6485500000003,-19.35373070818241
2023-09-18,2023-09-15,510300.SH,SELL,500,3.4962510000000004,1748.1255000000003,5.0,0.0,1743.1255000000003,-39.49961611876665
2023-09-18,2023-09-15,512880.SH,SELL,600,0.9505245,570.3147,5.0,0.0,565.3147,7.501215351680912
2023-09-18,2023-09-15,512660.SH,BUY,4600,1.0255124999999998,4717.357499999999,5.0,0.0,4722.357499999999,0.0
2023-09-25,2023-09-22,159928.SZ,SELL,400,0.9325335000000001,373.01340000000005,5.0,0.0,368.01340000000005,-4.727678623434485
2023-09-25,2023-09-22,510300.SH,SELL,200,3.524237,704.8474,5.0,0.0,699.8474,-13.202646447506822
2023-09-25,2023-09-22,512880.SH,SELL,3400,0.9685155,3292.9527,5.0,0.0,3287.9527,127.00962032619191
2023-09-25,2023-09-22,512660.SH,BUY,4400,1.010505,4446.222,5.0,0.0,4451.222,0.0
2023-10-09,2023-09-28,510300.SH,SELL,300,3.4752615000000002,1042.57845,5.0,0.0,1037.57845,-31.996619671260305
2023-10-09,2023-09-28,512660.SH,SELL,232600,1.0044975,233646.1185,70.09383555,0.0,233576.02466445,-21217.968314522266
2023-10-09,2023-09-28,159928.SZ,BUY,1600,0.910455,1456.728,5.0,0.0,1461.728,0.0
2023-10-09,2023-09-28,512010.SH,BUY,539100,0.428214,230850.16739999998,69.25505021999999,0.0,230919.42245021998,0.0
2023-10-09,2023-09-28,512880.SH,BUY,2700,0.9414704999999999,2541.9703499999996,5.0,0.0,2546.9703499999996,0.0
2023-10-16,2023-10-13,512010.SH,SELL,14100,0.43678150000000004,6158.61915,5.0,0.0,6153.61915,113.99040478000097
2023-10-16,2023-10-13,159928.SZ,BUY,4900,0.888444,4353.3756,5.0,0.0,4358.3756,0.0
2023-10-16,2023-10-13,512880.SH,BUY,1500,0.930465,1395.6975,5.0,0.0,1400.6975,0.0
2023-10-23,2023-10-20,512880.SH,SELL,11300,0.9335330000000001,10548.922900000001,5.0,0.0,10543.922900000001,36.46722285801843
2023-10-23,2023-10-20,159928.SZ,BUY,2500,0.8434214999999999,2108.55375,5.0,0.0,2113.55375,0.0
2023-10-23,2023-10-20,510300.SH,BUY,500,3.2896439999999996,1644.822,5.0,0.0,1649.822,0.0
2023-10-23,2023-10-20,512010.SH,BUY,16700,0.406203,6783.590099999999,5.0,0.0,6788.590099999999,0.0
2023-10-30,2023-10-27,159928.SZ,SELL,6200,0.8905545,5521.4379,5.0,0.0,5516.4379,-250.28337252306937
2023-10-30,2023-10-27,512010.SH,SELL,7600,0.42478750000000004,3228.385,5.0,0.0,3223.385,-26.900613657005124
2023-10-30,2023-10-27,510300.SH,BUY,1100,3.343671,3678.0381,5.0,0.0,3683.0381,0.0
2023-10-30,2023-10-27,512880.SH,BUY,5500,0.942471,5183.590499999999,5.0,0.0,5188.590499999999,0.0
2023-11-06,2023-11-03,159928.SZ,SELL,400,0.9165415000000001,366.61660000000006,5.0,0.0,361.61660000000006,-10.429933711165688
2023-11-06,2023-11-03,512010.SH,SELL,2900,0.4387805,1272.46345,5.0,0.0,1267.46345,27.2228868940374
2023-11-06,2023-11-03,512880.SH,SELL,1000,0.971514,971.514,5.0,0.0,966.514,36.342063989676376
