symbol,momentum_score,date,rank,buy_signal,target_weight
588000.SH,0.10944688411795692,2023-05-19,1,True,0.25
512880.SH,0.002482813276297994,2023-05-19,2,True,0.25
510500.SH,0.0015964555286286037,2023-05-19,3,True,0.25
512660.SH,-0.005173906189686147,2023-05-19,4,True,0.25
510300.SH,-0.006425095712957125,2023-05-19,5,False,0.0
159915.SZ,-0.1355424859701308,2023-05-19,6,False,0.0
159928.SZ,-0.19305241794089265,2023-05-19,7,False,0.0
512010.SH,-0.2036454967190971,2023-05-19,8,False,0.0
516160.SH,-0.33725475743767175,2023-05-19,9,False,0.0
588000.SH,0.057556720288431305,2023-05-26,1,True,0.25
512880.SH,-9.207924748440154e-05,2023-05-26,2,True,0.25
510500.SH,-0.001139501592844472,2023-05-26,3,True,0.25
512660.SH,-0.01926719331548194,2023-05-26,4,True,0.25
510300.SH,-0.04929354433994068,2023-05-26,5,False,0.0
159915.SZ,-0.21911205442574486,2023-05-26,6,False,0.0
512010.SH,-0.26839779577820205,2023-05-26,7,False,0.0
159928.SZ,-0.282753228553253,2023-05-26,8,False,0.0
516160.SH,-0.3912818523623819,2023-05-26,9,False,0.0
588000.SH,0.034065365238947404,2023-06-02,1,True,0.25
512880.SH,-0.006050484086873887,2023-06-02,2,True,0.25
510500.SH,-0.023919722475951172,2023-06-02,3,True,0.25
512660.SH,-0.08533679099400317,2023-06-02,4,True,0.25
510300.SH,-0.09319416426884979,2023-06-02,5,False,0.0
159915.SZ,-0.26017241527942864,2023-06-02,6,False,0.0
512010.SH,-0.2966930946303904,2023-06-02,7,False,0.0
159928.SZ,-0.32867481888984834,2023-06-02,8,False,0.0
516160.SH,-0.4218410035920335,2023-06-02,9,False,0.0
588000.SH,0.021232336125090737,2023-06-09,1,True,0.25
512880.SH,-0.0068034831982263875,2023-06-09,2,True,0.25
510500.SH,-0.059696702338041,2023-06-09,3,True,0.25
510300.SH,-0.10619085385798546,2023-06-09,4,True,0.25
512660.SH,-0.14946666109382778,2023-06-09,5,False,0.0
159915.SZ,-0.2703423010250054,2023-06-09,6,False,0.0
512010.SH,-0.2966398233565522,2023-06-09,7,False,0.0
159928.SZ,-0.35721227870342714,2023-06-09,8,False,0.0
516160.SH,-0.43288034742616377,2023-06-09,9,False,0.0
588000.SH,0.019289013237957776,2023-06-16,1,True,0.25
512880.SH,-0.006191168761199464,2023-06-16,2,True,0.25
510500.SH,-0.06674915767173682,2023-06-16,3,True,0.25
510300.SH,-0.09691476448479353,2023-06-16,4,True,0.25
512660.SH,-0.16180697483664666,2023-06-16,5,False,0.0
159915.SZ,-0.24954514716940157,2023-06-16,6,False,0.0
512010.SH,-0.29394384799428935,2023-06-16,7,False,0.0
159928.SZ,-0.3543267306381145,2023-06-16,8,False,0.0
516160.SH,-0.4121220299524383,2023-06-16,9,False,0.0
588000.SH,0.01828599279649493,2023-06-21,1,True,0.25
512880.SH,-0.00840880074557916,2023-06-21,2,True,0.25
510500.SH,-0.0694339538133811,2023-06-21,3,True,0.25
510300.SH,-0.09318978674286771,2023-06-21,4,True,0.25
512660.SH,-0.14734201215665607,2023-06-21,5,False,0.0
159915.SZ,-0.22499290665872637,2023-06-21,6,False,0.0
512010.SH,-0.2938713615000884,2023-06-21,7,False,0.0
159928.SZ,-0.3593164611346605,2023-06-21,8,False,0.0
516160.SH,-0.3909771252980082,2023-06-21,9,False,0.0
588000.SH,0.005522861401134411,2023-06-30,1,True,0.25
512880.SH,-0.02004966086264676,2023-06-30,2,True,0.25
510500.SH,-0.08167462000836591,2023-06-30,3,True,0.25
510300.SH,-0.09290329364791095,2023-06-30,4,True,0.25
512660.SH,-0.10913472144597273,2023-06-30,5,False,0.0
159915.SZ,-0.20155173301020388,2023-06-30,6,False,0.0
512010.SH,-0.2948504191505351,2023-06-30,7,False,0.0
516160.SH,-0.34913421124675764,2023-06-30,8,False,0.0
159928.SZ,-0.3561490731145837,2023-06-30,9,False,0.0
